"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Webapp Code Search Servlet","0","","1","0","A user shall be able to query coding systems with non-ascii characters.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to list boards using gateway-service","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all global user roles through access-ui.","0"
"0","Dispatcher","0","Sanity CoCoA cohorts","2","0","Dispatcher - Run basic descriptive cohort jobs as a sanity check in CoCoA environment if it's enabled.","0"
"0","Dispatcher","0","Sanity CoCoA cohorts","1","0","A descriptive cohort should be able to be generated using SynPUF Subset.","0"
"0","Schema Service","0","Patient Datasets Controller","2","0","A user shall be able to list patient datasets using schema-service and change the sort order of the results with query parameters.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to get a user's information by their email.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to get the application's configuration from gateway-service.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get a schema dataset by the patient dataset's id using schema-service.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to list a dataset's versions by the patient dataset's id using schema-service.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to see all cost indexes available to them while building a cost measure.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to get information about a specific user.","0"
"0","Features Service","0","","2","0","A specific feature's flag variation should be available for an instance.","0"
"0","Projects Service","0","","1","0","A user shall be able to view their project's results from its root folder.","0"
"0","Authorization Service","0","","1","0","A user should be able to view all global permissions.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be list all instances managed by access-ui.","0"
"0","","0","","1","0","An admin user shall be able to create a new sso configuration as long as the app client is unique.","0"
"0","Dispatcher","0","","1","0","Generate an event exploration result job from end to end using SynPUF Subset.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to use schema-service to list the latest patient datasets.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to search for global permissions through access-ui.","0"
"0","Authorization Service","0","","1","0","The v1 endpoint should both function the same in authorization-service.","0"
"0","List Service","0","","1","0","A should be able to query paginated analysis from a project folder.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all sso configurations through access-ui.","0"
"0","List Service","0","","1","0","A should be able to query paginated cohort from a project folder.","0"
"0","List Service","0","","1","0","A should be able to query paginated report from a project folder.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to list patient datasets using schema-service.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to list patient datasets using schema-service and filter by the instance id.","0"
"0","Webapp Code Search Servlet","0","","1","0","A user shall only be able to specify a positive number of max results returned from code-search servlet","0"
"0","Projects Service","0","","1","0","A user shall be able to view a project's name when selecting it in a modal.","0"
"0","Authorization Service","0","","2","0","","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all sso-mapped orgranizations.","0"
"0","Projects Service","0","","1","0","A user shall be able to delete a project.","0"
"0","","0","","1","0","MAC service's health check endpoint will be available to show that it is healthy.","0"
"0","Projects Service","0","","1","0","A user shall be able to update a project's description.","0"
"0","Sanity Checks","0","","1","0","The measure library shall contain exactly one patient attributes folder.","0"
"0","AEP Gateway Service","0","","1","0","A user shall be able to view root library folders.","0"
"0","Authorization Service","0","","1","0","A user that has a specific global permission should be acknowledged as having it.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to get a user's roles for an instance.","0"
"0","List Service","0","","1","0","A should be able to query paginated cohortjob from a project folder.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all dataset permissions for a user.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to get a global permission through access-ui.","0"
"0","List Service","0","","1","0","A should be able to query paginated cohortjob from a library folder.","0"
"0","Features Service","0","","1","0","The features context should be available for an instance.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to see if a user exists by their email.","0"
"0","Authorization Service","0","","1","0","An admin user should be able to view all project user role permissions for their project.","0"
"0","Schema Service","0","","1","0","","0"
"0","Dispatcher","0","Sanity CoCoA cohorts","1","0","A descriptive cohort should be able to be generated using SynPUF Tiny Subset.","0"
"0","AEP Gateway Service","0","","1","0","Users shall be able to create measures with date parameters bound by other measures","0"
"0","Features Service","0","","1","0","A user shall be able to search for codes using parquet files.","0"
"0","","0","","1","0","Results store's health check endpoint will be available to show that it is healthy.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to list analyses using gateway-service","0"
"0","Dispatcher","0","","1","0","Generate a drug pathways result job from end to end using SynPUF Subset.","0"
"0","Projects Service","0","","1","0","An internal Aetion user shall be able to update a project to be internal only.","0"
"0","","0","","1","0","Results service's health check endpoint will be available to show that it is healthy.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get the schema db by the patient dataset's id using schema-service.","0"
"0","List Service","0","","1","0","A should be able to query paginated codelist from a library folder.","0"
"0","Projects Service","0","","1","0","An internal Aetion user shall be able to update an internal only project to become non-internal.","0"
"0","","0","","1","0","Plot templates server's health check endpoint will be available to show that it is healthy.","0"
"0","","0","","1","0","User self-service's health check endpoint will be available to show that it is healthy.","0"
"0","","0","","1","0","Webapp's health check endpoint will be available to show that it is healthy.","0"
"0","Projects Service","0","","1","0","A user shall be able to view their explorations.","0"
"0","Schema Service","0","","1","0","Schema Service should return a patient dataset instance when provided with its id.","0"
"0","Projects Service","0","","1","0","A user shall not be able to change their project's name to an empty String.","0"
"0","","0","","1","0","Features service's health check endpoint will be available to show that it is healthy.","0"
"0","","0","","1","0","Reports service's health check endpoint will be available to show that it is healthy.","0"
"0","Sanity Checks","0","","1","0","God Mode should be seeded in a new instance for the test user.","0"
"0","Authorization Service","0","","1","0","A user should be able to view moderators for an instance.","0"
"0","Projects Service","0","","1","0","An internal Aetion user should be able to view internal projects.","0"
"0","Projects Service","0","","1","0","A user shall be able to view their project's details.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get a report markdown by the patient dataset's id using schema-service.","0"
"0","Dispatcher","0","","1","0","Generate a descriptive result job from end to end using SynPUF Subset.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all global permissions through access-ui.","0"
"0","List Service","0","","1","0","A should be able to query paginated extension from a library folder.","0"
"0","","0","","1","0","List service's health check endpoint will be available to show that it is healthy.","0"
"0","Features Service","0","","1","0","All features in an instance should be available through features-service.","0"
"0","Schema Service","0","","1","0","Schema Service should be able to list all coding systems.","0"
"0","Features Service","0","","1","0","features-service should be able to return the Launch Darkly sdk.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all ad mappings for an organization.","0"
"0","Projects Service","0","","1","0","A user shall be able to view their project's cohort job library from its root folder.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all project roles through access-ui.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to list explorations using gateway-service","0"
"0","Authorization Service","0","","1","0","A user with permissions on a dataset should have permissions to the dataset.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get a dataset's schema metadata by the patient dataset's id using schema-service.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to list patient datasets using schema-service and limit the results per page.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all dataset permissions in an instance.","0"
"0","AEP Gateway Service","0","","1","0","A user should be able to list measures using gateway-service.","0"
"0","Schema Service","0","","1","0","Schema Service should be able to list all patient datasets instances.","0"
"0","","0","","1","0","An admin user shall be able to update an existing sso configuration.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get a dataset's attributes by the patient dataset's id using schema-service.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all organizations through access-ui.","0"
